epoch,accuracy,loss,val_accuracy,val_loss
0,0.05424776301,7.406353474,NA,NA
1,0.05549710616,7.023351192,NA,NA
2,0.06253287941,6.969453335,NA,NA
3,0.07200157642,6.892163277,NA,NA
4,0.07325091958,6.805128098,NA,NA
5,0.07423724234,6.716789246,NA,NA
6,0.07371120155,6.616600513,NA,NA
7,0.07463177294,6.507002831,NA,NA
8,0.07496054471,6.397429466,NA,NA
9,0.07574960589,6.283043385,NA,NA
10,0.07568384707,6.177844524,NA,NA
11,0.07607837766,6.047198296,NA,NA
12,0.07627564669,5.927892685,NA,NA
13,0.0785113126,5.803662777,NA,NA
14,0.07943187654,5.683305264,NA,NA
15,0.08094424009,5.565494537,NA,NA
16,0.08002366871,5.445437431,NA,NA
17,0.08324565738,5.327852726,NA,NA
18,0.08324565738,5.212926865,NA,NA
19,0.08495528996,5.103151798,NA,NA
20,0.08738821745,4.993895531,NA,NA
21,0.09126775712,4.889033318,NA,NA
22,0.09619937092,4.789330482,NA,NA
23,0.1006707028,4.691982269,NA,NA
24,0.1072461829,4.60166502,NA,NA
25,0.1152682826,4.511529922,NA,NA
26,0.1246712282,4.431182384,NA,NA
27,0.1330220997,4.35057354,NA,NA
28,0.1432798505,4.273917675,NA,NA
29,0.1531430781,4.199270725,NA,NA
30,0.1623487622,4.122463703,NA,NA
31,0.1726065278,4.053260803,NA,NA
32,0.1847054213,3.985160351,NA,NA
33,0.1935165673,3.920208454,NA,NA
34,0.2039715946,3.857236385,NA,NA
35,0.2150184065,3.796121359,NA,NA
36,0.2226459831,3.742602587,NA,NA
37,0.2330352515,3.68046689,NA,NA
38,0.2413861156,3.624889612,NA,NA
39,0.2486191541,3.568067789,NA,NA
40,0.2582193613,3.518794298,NA,NA
41,0.2700552344,3.464272261,NA,NA
42,0.2779458165,3.413924217,NA,NA
43,0.2826144099,3.381306887,NA,NA
44,0.2920173705,3.333400726,NA,NA
45,0.2994476557,3.282743216,NA,NA
46,0.3060231507,3.238853216,NA,NA
47,0.3178590238,3.191909075,NA,NA
48,0.323908478,3.151052952,NA,NA
49,0.3275907338,3.112713575,NA,NA
